# Metrics for node-exporter
# Job: node-exporter
# Category: monitoring
# Exported at: 2025-07-02T11:09:54.004769
# Total metrics: 2478
# Unique metric types: 317

## go_gc_duration_seconds
node_disk_discards_merged_total{device="nbd1",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_merged_total{device="nbd10",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_merged_total{device="nbd11",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_merged_total{device="nbd12",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_merged_total{device="nbd13",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_merged_total{device="nbd14",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_merged_total{device="nbd15",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_merged_total{device="nbd2",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_merged_total{device="nbd3",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_merged_total{device="nbd4",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_merged_total{device="nbd5",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_merged_total{device="nbd6",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_merged_total{device="nbd7",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_merged_total{device="nbd8",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_merged_total{device="nbd9",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_merged_total{device="vda",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_merged_total{device="vdb",instance="node-exporter:9100",job="node-exporter"} 0

## node_disk_flush_requests_time_seconds_total
node_disk_flush_requests_time_seconds_total{device="nbd0",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_time_seconds_total{device="nbd1",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_time_seconds_total{device="nbd10",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_time_seconds_total{device="nbd11",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_time_seconds_total{device="nbd12",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_time_seconds_total{device="nbd13",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_time_seconds_total{device="nbd14",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_time_seconds_total{device="nbd15",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_time_seconds_total{device="nbd2",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_time_seconds_total{device="nbd3",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_time_seconds_total{device="nbd4",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_time_seconds_total{device="nbd5",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_time_seconds_total{device="nbd6",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_time_seconds_total{device="nbd7",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_time_seconds_total{device="nbd8",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_time_seconds_total{device="nbd9",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_time_seconds_total{device="vda",instance="node-exporter:9100",job="node-exporter"} 14.64
node_disk_flush_requests_time_seconds_total{device="vdb",instance="node-exporter:9100",job="node-exporter"} 0

## node_disk_flush_requests_total
node_disk_flush_requests_total{device="nbd0",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_total{device="nbd1",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_total{device="nbd10",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_total{device="nbd11",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_total{device="nbd12",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_total{device="nbd13",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_total{device="nbd14",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_total{device="nbd15",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_total{device="nbd2",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_total{device="nbd3",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_total{device="nbd4",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_total{device="nbd5",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_total{device="nbd6",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_total{device="nbd7",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_total{device="nbd8",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_total{device="nbd9",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_flush_requests_total{device="vda",instance="node-exporter:9100",job="node-exporter"} 47399
node_disk_flush_requests_total{device="vdb",instance="node-exporter:9100",job="node-exporter"} 0

## node_disk_info
node_disk_info{device="nbd0",instance="node-exporter:9100",job="node-exporter",major="43",minor="0",rotational="0"} 1
node_disk_info{device="nbd1",instance="node-exporter:9100",job="node-exporter",major="43",minor="32",rotational="0"} 1
node_disk_info{device="nbd10",instance="node-exporter:9100",job="node-exporter",major="43",minor="320",rotational="0"} 1
node_disk_info{device="nbd11",instance="node-exporter:9100",job="node-exporter",major="43",minor="352",rotational="0"} 1
node_disk_info{device="nbd12",instance="node-exporter:9100",job="node-exporter",major="43",minor="384",rotational="0"} 1
node_disk_info{device="nbd13",instance="node-exporter:9100",job="node-exporter",major="43",minor="416",rotational="0"} 1
node_disk_info{device="nbd14",instance="node-exporter:9100",job="node-exporter",major="43",minor="448",rotational="0"} 1
node_disk_info{device="nbd15",instance="node-exporter:9100",job="node-exporter",major="43",minor="480",rotational="0"} 1
node_disk_info{device="nbd2",instance="node-exporter:9100",job="node-exporter",major="43",minor="64",rotational="0"} 1
node_disk_info{device="nbd3",instance="node-exporter:9100",job="node-exporter",major="43",minor="96",rotational="0"} 1
node_disk_info{device="nbd4",instance="node-exporter:9100",job="node-exporter",major="43",minor="128",rotational="0"} 1
node_disk_info{device="nbd5",instance="node-exporter:9100",job="node-exporter",major="43",minor="160",rotational="0"} 1
node_disk_info{device="nbd6",instance="node-exporter:9100",job="node-exporter",major="43",minor="192",rotational="0"} 1
node_disk_info{device="nbd7",instance="node-exporter:9100",job="node-exporter",major="43",minor="224",rotational="0"} 1
node_disk_info{device="nbd8",instance="node-exporter:9100",job="node-exporter",major="43",minor="256",rotational="0"} 1
node_disk_info{device="nbd9",instance="node-exporter:9100",job="node-exporter",major="43",minor="288",rotational="0"} 1
node_disk_info{device="vda",instance="node-exporter:9100",job="node-exporter",major="254",minor="0",rotational="0"} 1
node_disk_info{device="vdb",instance="node-exporter:9100",job="node-exporter",major="254",minor="16",rotational="0"} 1

## node_disk_io_now
node_disk_io_now{device="nbd0",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_io_now{device="nbd1",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_io_now{device="nbd10",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_io_now{device="nbd11",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_io_now{device="nbd12",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_io_now{device="nbd13",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_io_now{device="nbd14",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_io_now{device="nbd15",instance="node-exporter:9100",job="node-exporter"} 0
