# Metrics for redis-exporter
# Job: redis-exporter
# Category: cache
# Exported at: 2025-07-02T11:09:53.994813
# Total metrics: 675
# Unique metric types: 323

## go_cgo_go_to_c_calls_calls_total
go_memstats_heap_released_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 4022272

## go_memstats_heap_sys_bytes
go_memstats_heap_sys_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 11468800

## go_memstats_last_gc_time_seconds
go_memstats_last_gc_time_seconds{instance="banking-redis-exporter:9121",job="redis-exporter"} 1751434777.3046308

## go_memstats_mallocs_total
go_memstats_mallocs_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 3562723

## go_memstats_mcache_inuse_bytes
go_memstats_mcache_inuse_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 12080

## go_memstats_mcache_sys_bytes
go_memstats_mcache_sys_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 15704

## go_memstats_mspan_inuse_bytes
go_memstats_mspan_inuse_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 172480

## go_memstats_mspan_sys_bytes
go_memstats_mspan_sys_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 212160

## go_memstats_next_gc_bytes
go_memstats_next_gc_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 6391586

## go_memstats_other_sys_bytes
go_memstats_other_sys_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 1687193

## go_memstats_stack_inuse_bytes
go_memstats_stack_inuse_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 1114112

## go_memstats_stack_sys_bytes
go_memstats_stack_sys_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 1114112

## go_memstats_sys_bytes
go_memstats_sys_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 17521680

## go_sched_gomaxprocs_threads
go_sched_gomaxprocs_threads{instance="banking-redis-exporter:9121",job="redis-exporter"} 10

## go_sched_goroutines_goroutines
go_sched_goroutines_goroutines{instance="banking-redis-exporter:9121",job="redis-exporter"} 9

## go_sched_latencies_seconds_bucket
go_sched_latencies_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="6.399999999999999e-08"} 5313
go_sched_latencies_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="6.399999999999999e-07"} 5993
go_sched_latencies_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="7.167999999999999e-06"} 6554
go_sched_latencies_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="8.191999999999999e-05"} 7554
go_sched_latencies_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="0.0009175039999999999"} 8344
go_sched_latencies_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="0.010485759999999998"} 8556
go_sched_latencies_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="0.11744051199999998"} 8556
go_sched_latencies_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 8556

## go_sched_latencies_seconds_count
go_sched_latencies_seconds_count{instance="banking-redis-exporter:9121",job="redis-exporter"} 8556

## go_sched_latencies_seconds_sum
go_sched_latencies_seconds_sum{instance="banking-redis-exporter:9121",job="redis-exporter"} 0.266798208

## go_sched_pauses_stopping_gc_seconds_bucket
go_sched_pauses_stopping_gc_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="6.399999999999999e-08"} 0
go_sched_pauses_stopping_gc_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="6.399999999999999e-07"} 0
go_sched_pauses_stopping_gc_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="7.167999999999999e-06"} 96
go_sched_pauses_stopping_gc_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="8.191999999999999e-05"} 386
go_sched_pauses_stopping_gc_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="0.0009175039999999999"} 637
go_sched_pauses_stopping_gc_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="0.010485759999999998"} 658
go_sched_pauses_stopping_gc_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="0.11744051199999998"} 658
go_sched_pauses_stopping_gc_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 658

## go_sched_pauses_stopping_gc_seconds_count
go_sched_pauses_stopping_gc_seconds_count{instance="banking-redis-exporter:9121",job="redis-exporter"} 658

## go_sched_pauses_stopping_gc_seconds_sum
go_sched_pauses_stopping_gc_seconds_sum{instance="banking-redis-exporter:9121",job="redis-exporter"} 0.041969664

## go_sched_pauses_stopping_other_seconds_bucket
go_sched_pauses_stopping_other_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="6.399999999999999e-08"} 0
go_sched_pauses_stopping_other_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="6.399999999999999e-07"} 0
go_sched_pauses_stopping_other_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="7.167999999999999e-06"} 0
go_sched_pauses_stopping_other_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="8.191999999999999e-05"} 0
go_sched_pauses_stopping_other_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="0.0009175039999999999"} 0
go_sched_pauses_stopping_other_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="0.010485759999999998"} 0
go_sched_pauses_stopping_other_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="0.11744051199999998"} 0
go_sched_pauses_stopping_other_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 0

## go_sched_pauses_stopping_other_seconds_count
go_sched_pauses_stopping_other_seconds_count{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_sched_pauses_stopping_other_seconds_sum
go_sched_pauses_stopping_other_seconds_sum{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_sched_pauses_total_gc_seconds_bucket
go_sched_pauses_total_gc_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="6.399999999999999e-08"} 0
go_sched_pauses_total_gc_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="6.399999999999999e-07"} 0
go_sched_pauses_total_gc_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="7.167999999999999e-06"} 17
go_sched_pauses_total_gc_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="8.191999999999999e-05"} 210
go_sched_pauses_total_gc_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="0.0009175039999999999"} 486
go_sched_pauses_total_gc_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="0.010485759999999998"} 658
go_sched_pauses_total_gc_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="0.11744051199999998"} 658
go_sched_pauses_total_gc_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 658

## go_sched_pauses_total_gc_seconds_count
go_sched_pauses_total_gc_seconds_count{instance="banking-redis-exporter:9121",job="redis-exporter"} 658

## go_sched_pauses_total_gc_seconds_sum
go_sched_pauses_total_gc_seconds_sum{instance="banking-redis-exporter:9121",job="redis-exporter"} 0.181814912

## go_sched_pauses_total_other_seconds_bucket
go_sched_pauses_total_other_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="6.399999999999999e-08"} 0
go_sched_pauses_total_other_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="6.399999999999999e-07"} 0
go_sched_pauses_total_other_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="7.167999999999999e-06"} 0
go_sched_pauses_total_other_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="8.191999999999999e-05"} 0
