# Metrics for redis-exporter
# Job: redis-exporter
# Category: cache
# Exported at: 2025-07-02T11:09:53.994813
# Total metrics: 675
# Unique metric types: 323

## go_cgo_go_to_c_calls_calls_total
redis_up{instance="banking-redis-exporter:9121",job="redis-exporter"} 1

## redis_uptime_in_seconds
redis_uptime_in_seconds{instance="banking-redis-exporter:9121",job="redis-exporter"} 5819

## redis_watching_clients
redis_watching_clients{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## scrape_duration_seconds
scrape_duration_seconds{instance="banking-redis-exporter:9121",job="redis-exporter"} 0.040580125

## scrape_samples_post_metric_relabeling
scrape_samples_post_metric_relabeling{instance="banking-redis-exporter:9121",job="redis-exporter"} 670

## scrape_samples_scraped
scrape_samples_scraped{instance="banking-redis-exporter:9121",job="redis-exporter"} 670

## scrape_series_added
scrape_series_added{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## up
up{instance="banking-redis-exporter:9121",job="redis-exporter"} 1

