# Metrics for banking-kafka
# Job: banking-kafka
# Category: messaging
# Exported at: 2025-07-02T11:09:54.024292
# Total metrics: 432
# Unique metric types: 63

## go_gc_duration_seconds
kafka_topic_partition_leader{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="38",topic="__consumer_offsets"} 1
kafka_topic_partition_leader{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="39",topic="__consumer_offsets"} 1
kafka_topic_partition_leader{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="4",topic="__consumer_offsets"} 1
kafka_topic_partition_leader{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="40",topic="__consumer_offsets"} 1
kafka_topic_partition_leader{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="41",topic="__consumer_offsets"} 1
kafka_topic_partition_leader{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="42",topic="__consumer_offsets"} 1
kafka_topic_partition_leader{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="43",topic="__consumer_offsets"} 1
kafka_topic_partition_leader{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="44",topic="__consumer_offsets"} 1
kafka_topic_partition_leader{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="45",topic="__consumer_offsets"} 1
kafka_topic_partition_leader{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="46",topic="__consumer_offsets"} 1
kafka_topic_partition_leader{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="47",topic="__consumer_offsets"} 1
kafka_topic_partition_leader{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="48",topic="__consumer_offsets"} 1
kafka_topic_partition_leader{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="49",topic="__consumer_offsets"} 1
kafka_topic_partition_leader{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="5",topic="__consumer_offsets"} 1
kafka_topic_partition_leader{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="6",topic="__consumer_offsets"} 1
kafka_topic_partition_leader{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="7",topic="__consumer_offsets"} 1
kafka_topic_partition_leader{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="8",topic="__consumer_offsets"} 1
kafka_topic_partition_leader{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="9",topic="__consumer_offsets"} 1

## kafka_topic_partition_leader_is_preferred
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="0",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="0",topic="audit-logs"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="0",topic="transaction-events"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="1",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="10",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="11",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="12",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="13",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="14",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="15",topic="__consumer_offsets"} 1
